India/State/UT,Boys,Girls,Total
India,13,12.3,12.6
Andaman & Nicobar,6,3.9,5
Andhra Pradesh,17.5,15,16.3
Arunachal Pradesh,11.2,12.3,11.7
Assam,19.8,20.7,20.3
Bihar,19.5,21.4,20.5
Chandigarh,0,0,0
Chattisgarh,11.5,8.1,9.7
Delhi,10.5,8.4,9.5
Goa,12.1,5.5,9
Gujarat,19.4,15.9,17.9
Haryana,6.7,4.9,5.9
Himachal Pradesh,13,12.3,12.6
Jammu & Kashmir,5.6,6.3,6
Jarkhand,9.7,8.9,9.3
Karnataka,16.2,13,14.7
Kerala,6.9,4.1,5.5
Ladhak,4,5.7,4.9
Lakshadweep,0.4,0,0
Madhya Pradesh,10.6,9.7,10.1
Manipur,1.4,1.2,1.3
Maharastra,10.8,10.6,10.7
Meghalaya,23.3,20.4,21.7
Mizorm,13.1,10.8,11.9
Nagaland,18.9,16.2,17.5
Odisha,29.2,25.2,27.3
Puducherry,8.4,4.1,6.3
Punjab,18.3,16,17.2
Rajasthan,7.8,7.5,7.7
Sikkim,14.6,9.5,11.9
Tamil Nadu,6.3,2.5,4.5
Telengana,14.5,12.9,13.7
Tripura,8.5,8.2,8.3
Uttar Pradesh,9.5,10,9.7
Uttarakhand,5.4,4.6,5
West Bengal,18.4,17.7,18
