India/State/UT,Boys,Girls,Total
India,2.7,3.3,3
Andaman & Nicobar,0.9,1,1
Andhra Pradesh,1.7,1.5,1.6
Arunachal Pradesh,4.8,8.4,6.7
Assam,10.1,7.6,8.8
Bihar,4,5.2,4.6
Chandigarh,0,0,0
Chattisgarh,4.8,3.3,4.1
Delhi,0,0,0
Goa,0,0,0
Gujarat,4.2,5.8,5
Haryana,0.3,0.2,0.3
Himachal Pradesh,2.7,3.3,3
Jammu & Kashmir,2.8,3.2,3
Jarkhand,3.7,4,3.9
Karnataka,1.1,1.1,1.1
Kerala,0,0,0
Ladhak,2.2,0,1.1
Lakshadweep,3.2,1.9,2.6
Madhya Pradesh,8.6,9,8.8
Manipur,6,5.2,5.6
Maharastra,1.5,1.6,1.5
Meghalaya,12,9.4,10.6
Mizorm,3.8,1.6,2.7
Nagaland,4.6,3.4,4
Odisha,8,6.5,7.3
Puducherry,2.8,2.1,2.4
Punjab,4.4,4.2,4.3
Rajasthan,8.7,7.1,8
Sikkim,0,0,0
Tamil Nadu,0,0,0
Telengana,3.4,2.9,3.1
Tripura,4.8,4.3,4.5
Uttar Pradesh,1.3,4.7,2.9
Uttarakhand,3,2.4,2.7
West Bengal,0,0,0
